state_abbrev,state_desc,county_name,tract_fips,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
VA,Virginia,Fairfax,51059481702,4136,8.9,17.8,22.2,4.5,7.8,2.9,70.4,2.9,8.8,6,26.7,13,21.3,31.1,1.4,POINT (-77.35389472 38.87148966)
VA,Virginia,Bedford,51019030202,5592,10.8,17.1,34,6.9,9.2,5.9,75.6,6.5,17.7,10.1,34.1,19.4,33.1,34,2.8,POINT (-79.41956843 37.22867434)
VA,Virginia,Stafford,51179010205,6770,10.5,19,28.1,4.6,8.9,3.6,72.1,4,14.7,8.2,30,18.3,36.6,36.6,1.8,POINT (-77.48825038 38.46797943)
VA,Virginia,Prince William,51153901414,4809,11.2,15.1,29.3,5.9,8.5,4.4,76.6,4.3,12.6,8.8,30.1,16.9,32.3,32.9,2.1,POINT (-77.60019403 38.74857555)
VA,Virginia,Spotsylvania,51177020110,3721,13.8,17.2,31,5,9.5,4.5,73.7,5.4,17.2,8.9,29.2,22.1,36,35.3,2.3,POINT (-77.55824333 38.27523632)
VA,Virginia,Mecklenburg,51117930200,5979,15.7,12,42.1,7.7,11.1,8.2,81.2,9.1,21,15.8,35.4,29.9,38.1,38,4.7,POINT (-78.14733163 36.74263823)
VA,Virginia,Chesterfield,51041100817,3530,16.6,13.7,41,7,10.9,7.4,76.4,8.9,21.4,13.6,33.1,30.1,41.2,39,4.1,POINT (-77.49980932 37.38463346)
VA,Virginia,Lynchburg,51680000600,3220,19.1,13.7,45.3,4.9,11.8,6.4,79.9,7.9,23.9,16.2,29.3,32.8,41.1,43,4.8,POINT (-79.15285448 37.41406029)
VA,Virginia,Fairfax,51059491201,6213,11.8,18.1,21.2,3.5,8,2.5,69.2,2.8,10.6,6.2,25.2,15.2,22.1,33.2,1.4,POINT (-77.44720617 38.84498058)
VA,Virginia,Fairfax,51059421002,4947,13.7,15.9,26.9,4.7,8.6,3.9,72,4,11.9,8.3,28.3,18.3,24.4,34.3,2.1,POINT (-77.17489731 38.76574449)
VA,Virginia,Brunswick,51025930300,5357,15.4,12.5,45.3,7.6,10.7,8.5,80.5,9.5,21.2,16.6,37.7,28.9,40.2,37.5,4.8,POINT (-77.88274322 36.64187713)
VA,Virginia,Mecklenburg,51117930400,5562,16.8,11.5,45.8,7.7,11.8,9.5,81.7,11.1,24.8,18.5,36.8,33.9,41.3,39.7,5.7,POINT (-78.44461209 36.79267642)
VA,Virginia,Chesapeake,51550020806,6839,10.6,16.1,29.8,5.6,9.1,4.4,76.6,4.4,13.5,9.5,29.7,19.9,33.8,33.9,2.3,POINT (-76.21773742 36.77824288)
VA,Virginia,Roanoke,51161030203,3975,9.7,15.9,30.8,7.1,9.3,5.3,77.8,5.5,13.7,9.1,32.3,18.8,31.2,30.2,2.4,POINT (-79.9368494 37.34514157)
VA,Virginia,Norfolk,51710001400,2470,13.4,12.8,42,8.5,10.9,8.3,80.1,8.8,18,14.5,34.2,25.9,36.2,37.6,4.8,POINT (-76.2672296 36.90800397)
VA,Virginia,Norfolk,51710005602,3397,15.5,16.8,33,5.3,10.8,5.5,75.1,6.7,21.8,10.2,28.1,23.8,37.5,40.3,3,POINT (-76.24369829 36.91958478)
VA,Virginia,Portsmouth,51740211600,4141,14.6,16.8,35,6.2,10.6,6.5,76.5,8,21.5,11.8,30.7,27.8,38.6,39.4,3.4,POINT (-76.35581382 36.82605367)
VA,Virginia,Norfolk,51710004800,1402,28.5,10.1,47.8,3.7,18.6,6.7,82,12.7,39.4,20.1,26.2,46.5,55.8,54.4,7,POINT (-76.28026309 36.84420395)
VA,Virginia,Chesapeake,51550020100,4532,19.8,11.1,43.7,4.6,13.7,6.5,82,8.7,25.8,18.6,29.8,38.1,50.2,45.6,5.1,POINT (-76.25249002 36.81250049)
VA,Virginia,Fairfax,51059461902,1775,22.3,15.7,23.9,2.6,8.9,3.1,68.2,4.2,16.7,8.4,24.3,25.8,26.9,37.4,1.9,POINT (-77.3081923 38.8670808)
VA,Virginia,Winchester,51840000302,5327,16,16.4,32.7,6,9.7,5.8,75.1,6.9,18,10.3,31.7,23.9,33.7,35.3,3,POINT (-78.18024511 39.15266072)
VA,Virginia,Pittsylvania,51143010100,4315,16.1,13.1,43.7,7.7,10.7,8.7,79.2,10.5,24.4,15.5,38,31.1,38.4,36.4,4.7,POINT (-79.22492785 37.00529509)
VA,Virginia,Hanover,51085320500,3001,8.6,14.5,38.3,8.4,8.8,6.9,79.6,6.4,13.3,11.1,37.2,19.3,36,31.1,3.1,POINT (-77.52207902 37.77208109)
VA,Virginia,Fairfax,51059481201,1220,7.4,15.2,27.2,5.3,7.6,3.6,73.8,3.3,8.1,8,32.3,13.2,21.3,30.9,1.8,POINT (-77.38441594 38.94780364)
VA,Virginia,Richmond City,51760040400,4032,11.2,19.7,23.1,3.6,11,4,71.7,4.7,11.7,7.1,22.1,17.6,25.8,28.5,2.1,POINT (-77.45770617 37.55113632)
VA,Virginia,Petersburg,51730810900,3461,16.5,11.5,45.1,6.5,11.7,7.4,82.6,7.9,21,17.2,32.6,31.3,44.9,42.4,4.9,POINT (-77.38208424 37.20921248)
VA,Virginia,Chesterfield,51041101008,4146,6.7,16.7,28.3,5.7,8.6,3.5,74.3,3.5,10.1,7.2,30.3,13.8,32.2,31.7,1.6,POINT (-77.70069348 37.41201861)
VA,Virginia,Dinwiddie,51053840500,3578,15.8,15.1,37.5,5.7,11,6.1,77.7,7.6,20.9,12.1,31.8,26.2,41.7,38.9,3.5,POINT (-77.46841962 37.16041253)
VA,Virginia,Richmond City,51760060500,5858,12.4,16.5,36.5,5.8,10.5,5.4,76.3,5.7,15.3,11.8,30.5,21,34.2,33.6,3.3,POINT (-77.47377427 37.51990542)
VA,Virginia,Fairfax,51059432600,4783,7.9,16.4,26,5.5,7.8,3.5,73.4,3.3,8.2,7.4,31.3,12.8,21.5,30.5,1.7,POINT (-77.23346615 38.74830125)
VA,Virginia,Fairfax,51059490502,6312,7.6,14.6,28.3,6.8,7.3,4.4,74.7,3.7,7.7,8,33.5,13.8,19.6,29.2,2,POINT (-77.37103806 38.83785006)
VA,Virginia,Loudoun,51107610601,6930,9.7,16.1,28.7,6.1,9.1,4.5,73.8,4.7,12.3,8.2,31.6,15.9,31.2,31.5,2.1,POINT (-77.5948924 39.09662666)
VA,Virginia,Fairfax,51059431802,3216,11.3,15.4,27.7,5.8,7.7,4.3,73.2,4.1,9.5,8.6,32.9,15.9,21.7,30.7,2,POINT (-77.26866062 38.80826451)
VA,Virginia,Roanoke City,51770002300,6971,15.8,13.5,41.8,6.2,10.7,6.4,76.7,7.2,19.8,14.5,31.2,28.5,39.6,38.8,4,POINT (-79.99658326 37.31004779)
VA,Virginia,Fairfax,51059452200,6767,19,13.9,29.2,4.5,8.2,4.7,71.8,4.8,13.7,10.7,30.7,23.9,24.5,35.1,2.5,POINT (-77.20915368 38.82203069)
VA,Virginia,Stafford,51179010107,3265,10.1,18.4,30.4,5.6,8.9,4.6,72.5,5,15.5,8.8,32.8,19,36,35.4,2.2,POINT (-77.34476832 38.45296291)
VA,Virginia,Chesterfield,51041100929,6206,8.5,15.2,32.8,6.4,9.1,4.7,75.2,5.1,13.3,9.3,32.9,18,34.2,33.4,2.2,POINT (-77.6442124 37.47643224)
VA,Virginia,Henrico,51087201502,4725,12.5,15.5,36.5,6.3,9.8,5.3,77.9,6.1,17.8,11.3,31.9,22.5,37.6,38.5,2.9,POINT (-77.33377705 37.46557254)
VA,Virginia,Virginia Beach,51810044807,5762,13.3,20,25,4.8,9.9,4,74.6,4.9,15.8,7.9,26.1,21.3,32.3,34.8,2.1,POINT (-76.03816334 36.84972873)
VA,Virginia,Fairfax City,51600300300,5470,11,15.3,30,5.6,8.2,4.7,73.8,4.5,11.9,9.4,31,18.4,28.8,32.1,2.2,POINT (-77.2820493 38.85161187)
VA,Virginia,Henrico,51087201401,4942,16.6,12.7,42.9,6,11.3,6.3,80.5,7.6,21,15.8,31.5,30.3,43.3,42.7,4.3,POINT (-77.34980487 37.52639841)
VA,Virginia,Fairfax,51059430802,4197,10.1,16.4,26.3,5.9,8.3,3.9,73,3.8,9.7,7.4,30.3,14.8,22.9,31.3,1.9,POINT (-77.22486906 38.78930848)
VA,Virginia,York,51199051100,6979,10.3,15.5,32.9,6.7,8.9,5,77.8,4.9,13.9,9.8,32.1,17.9,32.6,34.8,2.5,POINT (-76.65909908 37.27905855)
VA,Virginia,Newport News,51700032129,3027,14.4,18.6,29.1,3.7,10.5,3.5,74.9,4.4,17.1,7.8,22.4,20.7,38.3,37.7,2.1,POINT (-76.46604152 37.10209872)
VA,Virginia,Fairfax City,51600300500,3476,8.8,15.2,32.1,7.6,7.9,5.3,75.8,4.5,9.4,9.3,33.7,15.9,27.6,29,2.3,POINT (-77.29851074 38.84019335)
VA,Virginia,Henrico,51087201003,6020,18.4,10.9,49.7,5.9,12.4,7,83.3,8.4,23.5,20,32.5,34.8,48.7,46.8,5.6,POINT (-77.39352716 37.56043257)
VA,Virginia,Smyth,51173030302,3913,12.8,14.5,39.6,8.6,9.9,8.2,78.3,9.2,19,12.6,36.5,25.3,39.4,34.3,3.9,POINT (-81.53618819 36.85559488)
