state_abbrev,state_desc,county_name,tract_fips,total_population,lack_insurence_prev,binge_drinking_prev,high_bp_prev,cancer_prev,adult_asthma_prev,heart_disease_prev,routine_physical_prev,copd_prev,smoking_prev,diabetes_prev,high_chol_prev,physical_activity_prev,adult_obesity_prev,poor_sleep_prev,stroke_prev,geolocation
VA,Virginia,Danville,51590001000,3703,20.5,11.7,46.7,6.1,13,8.4,80.9,11.2,28.3,18.6,33.2,36,45.6,43.7,5.8,POINT (-79.41633406 36.56340886)
VA,Virginia,Henry,51089010300,5643,13.8,12.5,43.7,8,10.4,8.1,80.5,8.6,19.5,15.5,36.2,26.2,39.8,38.3,4.3,POINT (-79.81853851 36.72765857)
VA,Virginia,Rockbridge,51163930400,3945,15.6,14.6,40.2,7.8,10.4,8.9,76.5,10.8,23.5,13.9,37.5,28.5,34,34.2,4.4,POINT (-79.45942496 37.6331405)
VA,Virginia,Arlington,51013102500,4173,10.4,20.6,20.8,3.9,8,2.7,72.7,2.6,9.7,6.2,25,13.5,27.8,30.2,1.4,POINT (-77.08011503 38.86615766)
VA,Virginia,Buchanan,51027010300,3286,15.4,15,40.4,7.6,10.5,8.5,75.8,11.2,24.9,13.2,38.4,29.5,38,38.4,4.2,POINT (-82.18999169 37.25948697)
VA,Virginia,Virginia Beach,51810044806,3758,15.1,18.6,30,4.2,11,4.5,76,6,20.1,10.8,26.9,25.8,38.6,38.9,2.8,POINT (-76.02101929 36.84188871)
VA,Virginia,Falls Church,51610500200,5426,8.3,16.7,27.6,5.8,8,3.8,75.9,3.5,9.8,7.7,29.4,15.1,27.7,31.1,1.8,POINT (-77.18453147 38.88481464)
VA,Virginia,Norfolk,51710003000,1934,12,16.8,32.8,5.6,10.2,4.9,76.1,5.5,17.1,10,29,19.5,35.8,38.2,2.7,POINT (-76.26823836 36.8775901)
VA,Virginia,Loudoun,51107610201,4268,8.4,15.8,29.3,6.8,8.7,4.8,74.7,4.6,11.1,8.1,33.6,14.9,29.7,30.2,2.1,POINT (-77.70708536 39.19068255)
VA,Virginia,Newport News,51700031500,5843,10.3,17.7,32,6,9.2,4.9,75.9,5.1,14.1,8.6,28.6,18,34.6,32.6,2.4,POINT (-76.47428975 37.0447103)
VA,Virginia,Botetourt,51023040501,6330,10.4,16.3,35.5,7.3,9.3,6.3,77.4,7,17.5,10.3,34.9,20.4,35.7,34.9,2.9,POINT (-79.84538758 37.36819539)
VA,Virginia,Southampton,51175200200,2882,14.3,13.1,44.8,6.9,11.3,7.6,79.5,8.6,21,16.4,35.9,29.7,42.4,37.7,4.6,POINT (-77.27219244 36.70426504)
VA,Virginia,Chesterfield,51041100510,3242,11.1,16.1,32.8,6.2,9.6,5,74.3,5.5,15.8,9.3,31.2,20.2,35.8,35.5,2.4,POINT (-77.32359711 37.32212461)
VA,Virginia,Southampton,51175200400,6361,13.4,14.1,40.9,7.1,10.7,7,78.4,7.7,19,13.7,35.1,26.5,39,35.8,3.9,POINT (-76.99681571 36.69483962)
VA,Virginia,Richmond City,51760050600,2378,5.3,15.9,33.4,9.2,8.2,5.7,77.8,4.2,7.1,8.7,36.7,12,24.7,23.8,2.3,POINT (-77.50786397 37.55537646)
VA,Virginia,Alexandria,51510200405,6744,15.5,17.1,28.2,3.2,10.1,3.1,71,4,16.6,8.2,24.3,22,31.9,39.5,2,POINT (-77.13094125 38.80772222)
VA,Virginia,Fairfax,51059481000,5843,18.9,17.6,21.9,3,8.2,2.7,67.7,3.3,12.9,7,24.4,19.5,24.2,34.8,1.6,POINT (-77.41110047 38.96364602)
VA,Virginia,Fairfax,51059482302,4585,18.4,16.9,24.6,3.3,9.1,3.3,69.1,4.2,14.9,8,25.3,21.2,27.3,36.2,1.9,POINT (-77.35466452 38.93660881)
VA,Virginia,Stafford,51179010103,3532,10,18.6,28.5,5.4,8.7,4.2,72.5,4.2,13.2,8.1,30.8,17.6,34.5,34.6,1.9,POINT (-77.39234528 38.45858029)
VA,Virginia,Chesapeake,51550021601,8183,9.4,14.2,35.1,7.3,9.1,6,78.7,6.1,14.5,11.8,35.7,21.4,35,32.7,2.8,POINT (-76.40333761 36.84451814)
VA,Virginia,Alleghany,51005080100,3362,13.1,14.5,40.6,8.4,9.7,8.6,77.3,9.7,21.1,13,37,27.3,36.2,35.7,4.1,POINT (-79.76410528 37.82349202)
VA,Virginia,Prince William,51153900403,5108,18.7,13.7,33.3,5,9.8,5,77.1,5.6,17,11.9,29.1,25,38.6,37.5,2.9,POINT (-77.30073975 38.64432914)
VA,Virginia,Prince William,51153901403,6438,19.9,15.9,27.8,3.8,9.6,4,73.8,4.9,17.8,9.3,25,23.9,37.5,37,2.3,POINT (-77.5142962 38.773447)
VA,Virginia,Page,51139030100,2582,13,15.7,38,7.6,9.6,7.6,77,9,21,12.1,36,25.4,36.4,33.7,3.6,POINT (-78.36539664 38.72356251)
VA,Virginia,Richmond City,51760011000,1997,16.7,14.2,44.2,5.2,12,5.9,80.1,6.3,19,16.1,30.3,27.4,41.1,40.5,4.4,POINT (-77.42971339 37.5626879)
VA,Virginia,Alexandria,51510201400,4199,9,18.9,24.2,4.9,8.2,3.1,70.5,2.9,9.4,6,27.5,13.2,24.8,31.2,1.5,POINT (-77.06167306 38.82196515)
VA,Virginia,Loudoun,51107611400,5273,18.4,15.7,26.7,4.2,8.9,4.1,70.9,4.6,14.7,9.2,28.9,21.6,32.2,34.3,2.1,POINT (-77.39217316 39.00131873)
VA,Virginia,Gloucester,51073100203,4095,10.7,13.6,38.9,9,9.2,8,78.6,7.7,15.2,12.4,36.4,21.9,34.1,34.5,3.8,POINT (-76.48010659 37.40512487)
VA,Virginia,Galax,51640070102,2555,18,13.1,42.4,8.1,11.1,9.9,77.8,12.7,24.6,15.6,38.3,32.9,39.7,35.9,5.2,POINT (-80.91860185 36.67673825)
VA,Virginia,Richmond City,51760041100,3724,11.4,23.6,19.1,2.5,10.1,2.5,68.1,3.1,12.1,4.9,18.6,14.8,25.6,29.2,1.4,POINT (-77.46670828 37.54859954)
VA,Virginia,Virginia Beach,51810045414,6161,15.1,19.1,26.7,4,10.3,3.8,75,5,18.2,9.2,26.2,24,35.2,37.9,2.2,POINT (-76.08901335 36.81163134)
VA,Virginia,Norfolk,51710000600,4327,15.7,17,29.8,4.3,11.5,4.3,74.9,5.7,20.8,8.8,24.7,22.9,37.7,41.3,2.5,POINT (-76.253423 36.9404275)
VA,Virginia,Montgomery,51121020400,7774,13.7,18.5,17.6,1.5,11.9,2.4,72.7,4.6,16.1,4.3,14.9,23.5,30.3,31.4,1.3,POINT (-80.4198465 37.25312006)
VA,Virginia,Fauquier,51061930402,5714,8.7,17.6,31,6.5,8.7,4.6,75.9,4.7,13.2,8.3,32.7,16.4,29.3,32.6,2.1,POINT (-77.7321169 38.726724)
VA,Virginia,Scott,51169030600,4037,13.7,13.4,41.5,8.5,9.9,8.8,76.7,10.3,21,13.5,37.4,28.5,35.1,34.6,4.2,POINT (-82.58701199 36.61243314)
VA,Virginia,Hampton,51650010313,6673,14,15.5,33.3,4.9,10.8,4.6,77.9,4.8,15.6,10,24.2,23,35.3,40.1,2.9,POINT (-76.3906617 37.04941286)
VA,Virginia,Virginia Beach,51810042000,3502,5.8,16.1,31.1,8.3,8.3,5.4,79.8,4.7,9,9.6,36.9,14.9,28.7,28,2.2,POINT (-76.08955177 36.87992176)
VA,Virginia,Louisa,51109950202,3682,13.6,14.9,39.4,7.3,10.1,7.4,77.3,8.8,20.9,13.1,37.1,26.1,37.9,35.3,3.7,POINT (-77.90264944 38.03721605)
VA,Virginia,Danville,51590000700,3341,9.8,16.1,31.7,6.9,9.4,5.8,77.6,5.8,13,9.4,30.5,18.2,29.8,31.7,2.7,POINT (-79.41912182 36.57731794)
VA,Virginia,Fairfax,51059451800,3395,15.8,14.4,31.1,6,8,5.4,73.3,5.2,12.1,10.7,33.6,21.1,24.4,32.8,2.6,POINT (-77.1447057 38.83323374)
VA,Virginia,Washington,51191010402,3238,11.2,14.7,38,8.4,9.4,7.4,78,8,17.1,11.5,36.7,22.7,31.6,31.1,3.4,POINT (-82.01787234 36.7245378)
VA,Virginia,Radford,51750010102,5672,13.9,19.8,15.6,1.5,12.5,2.1,70,4.1,15.3,3.5,13.6,21.6,27.4,32.3,1.2,POINT (-80.52860086 37.13476135)
VA,Virginia,Craig,51045050100,5190,11.1,16.4,35.5,7.6,9.1,6.7,76.3,7.5,18,10.6,35.7,21.9,33,33.2,3,POINT (-80.21234401 37.4812456)
VA,Virginia,Prince William,51153901011,5456,10.5,15.7,28.7,4.8,9.1,3.7,77,3.8,12.1,8.6,28.2,16,34.8,34,1.9,POINT (-77.32537322 38.61288086)
VA,Virginia,Cumberland,51049930200,3536,14.7,13.7,42.6,7.1,10.7,7.7,79.2,8.8,20.8,14.8,34.6,28.8,41,37.8,4.4,POINT (-78.34495805 37.43390911)
VA,Virginia,New Kent,51127700100,5734,10.7,16.8,33.7,6.7,9.2,5.5,76.8,6.1,17.4,9.7,34.3,20.4,34.2,33,2.6,POINT (-77.15239184 37.55131383)
VA,Virginia,Henry,51089010500,4114,17.2,12.9,44.9,7.1,11.5,9.2,78.8,11.7,27.1,17.5,36.3,32.3,44,40.8,5.2,POINT (-79.76598141 36.60346893)
VA,Virginia,Madison,51113930200,5975,12.6,14.6,38.2,7.9,9.6,7.4,77.2,8.2,18.7,12,36.3,24.5,36.1,33.3,3.6,POINT (-78.32976576 38.45478823)
VA,Virginia,Hampton,51650012000,3217,16.1,12.1,47.3,5.9,11.5,7,81.6,7.6,21.9,17.6,31.5,31.1,43.5,45.1,5,POINT (-76.38883562 37.00076796)
VA,Virginia,Waynesboro,51820003400,5365,11,16.2,34.6,7.5,9.3,6.3,76.9,6.6,15.6,10.2,34.1,21,33.9,33.1,2.9,POINT (-78.90942829 38.07642987)
VA,Virginia,Portsmouth,51740212300,4743,17.1,15.9,35.4,4.5,11.8,5.3,77.7,7.3,23.3,12.3,27,30.6,43.2,44,3.3,POINT (-76.31337498 36.80244493)
VA,Virginia,Northumberland,51133020100,3903,13.6,12.6,43.6,8.9,10.2,9.3,81,9.7,17.6,15.6,37,26.4,36.9,33.2,4.7,POINT (-76.53021116 37.97186532)
VA,Virginia,Hampton,51650010800,5317,11.6,14.2,39.5,7,9.7,6.5,79,6.4,16.2,12.5,32.6,22.6,35,37.2,3.4,POINT (-76.33118737 37.04279602)
VA,Virginia,Prince William,51153901411,5491,9,15.6,27.3,5.2,8.1,3.7,76.2,3.5,11.3,8,29.6,14.9,30.9,32.5,1.8,POINT (-77.63807082 38.77937406)
VA,Virginia,Arlington,51013100200,6019,6.5,17.9,26.6,7.1,7.9,4.5,76.9,3.7,8.4,7.4,33,12.4,26.6,26.7,1.9,POINT (-77.14223806 38.90397131)
VA,Virginia,Virginia Beach,51810040801,4107,14.7,19.7,26.9,5.1,9.9,4.5,74.6,5.5,17.6,8.8,27.9,23.1,32.8,35.4,2.4,POINT (-76.1396318 36.86654109)
VA,Virginia,Suffolk,51800075202,1260,10.7,16.8,32,5,9.4,3.8,77.2,4.2,14.9,9,30.7,18.6,34.1,35.6,2.1,POINT (-76.48092303 36.83382986)
VA,Virginia,Hanover,51085320805,2938,8.2,17.5,30.8,6.4,8.6,4.5,76.6,4.6,12.9,8.1,32.2,16,34.9,31.7,2.1,POINT (-77.42511181 37.66472143)
VA,Virginia,Fairfax,51059492202,6844,6.6,15.9,27.4,6.1,7.8,3.9,74.5,3.5,7.7,7.7,33.4,12.3,21.4,29.5,1.8,POINT (-77.26702076 38.74062981)
VA,Virginia,Richmond City,51760070602,2398,25.8,14.2,43.4,4.8,12.8,6.6,77.1,8.5,25,17.1,30.8,34.4,42.5,40.8,5,POINT (-77.47679327 37.49799253)
VA,Virginia,Prince William,51153901232,4417,13.7,17.8,27.4,4.7,8.5,3.8,74.4,4.2,14.4,7.8,27.8,17.2,33.4,34.2,1.9,POINT (-77.44173723 38.72083541)
VA,Virginia,Chesapeake,51550021006,7933,8.6,16.3,30.3,6.4,8.8,4.7,76.8,4.8,13.1,9.4,33,18.2,33.3,32,2.2,POINT (-76.28221339 36.67968078)
VA,Virginia,Virginia Beach,51810045810,2067,17.8,15.3,31.9,3.5,12.7,4.3,77.7,6.9,23.9,12.3,26.2,31.8,41.4,42.2,3.1,POINT (-76.10480579 36.79860886)
VA,Virginia,Prince Edward,51147930202,3571,14.6,13.2,42.2,6.7,11,7.4,80.8,8.4,19.9,15.6,33.2,28.3,39.2,36.6,4.5,POINT (-78.53502775 37.29635223)
VA,Virginia,Fairfax,51059491302,3359,10.1,17.5,20.3,3.2,7.8,2.3,69.4,2.5,9.3,5.9,24.4,14.1,20.5,32.7,1.3,POINT (-77.44517481 38.82946101)
VA,Virginia,Norfolk,51710001100,2593,17.7,16.9,27.5,3.1,11.3,3.8,73.7,5.1,21.1,8.8,22.3,25.2,34.4,41.9,2.4,POINT (-76.31191959 36.92979392)
VA,Virginia,Augusta,51015071102,5735,11.1,17.1,34.4,7.1,9.2,6.1,75.1,6.8,18.5,10.2,35.9,20.9,34.5,34,2.8,POINT (-79.05869339 37.9945199)
VA,Virginia,Roanoke City,51770001000,2192,19,14.7,41.4,4.4,11.7,6,74,8.4,27.4,15,29.2,32.8,44.1,42,4.2,POINT (-79.96912274 37.27432704)
VA,Virginia,Norfolk,51710006100,7740,16.6,15.2,35.9,4.8,11.2,5.1,77,6.2,21.9,11.6,27.6,25.5,39.6,43.3,3.2,POINT (-76.24276354 36.87392642)
VA,Virginia,Fairfax,51059480501,3604,7.2,16.5,26.1,5.5,7.8,3.6,73.4,3.4,8.2,7.3,31.9,12.6,21.8,30.2,1.7,POINT (-77.36128253 38.9996284)
VA,Virginia,Henrico,51087200122,4379,7,17.7,25.7,5.4,8.2,3.3,74.6,3.5,10.7,7,29,14,29.4,31.9,1.6,POINT (-77.62332758 37.62710092)
VA,Virginia,Charlottesville,51540000302,2461,9.9,18.2,26.6,5.4,9.1,4,73.7,4.3,12.7,7.6,26.9,16,29.7,31.4,2,POINT (-78.46385183 38.02872011)
VA,Virginia,Roanoke,51161030702,5668,11.8,14.5,36.5,7.6,9.8,7.1,78.3,8,17.5,12.1,35,24.1,35.4,31.7,3.5,POINT (-80.01143883 37.24055487)
VA,Virginia,Arlington,51013101601,1313,6.9,22.2,16.8,3.6,7.9,2.3,71.3,2.1,7.1,4.3,22.3,10,23.7,26.8,1,POINT (-77.08049489 38.89950993)
VA,Virginia,Lynchburg,51680001000,3070,11.8,16.1,35.3,6.6,9.8,5.9,76.9,6.4,15.9,10.3,30,22.4,30,33.3,3.2,POINT (-79.17835948 37.38113874)
VA,Virginia,Pulaski,51155210201,4087,13.9,14.7,38.9,7.8,10.6,8.3,77.7,9.9,22.1,13,36.8,29,34.8,36.9,4.2,POINT (-80.75473913 37.05805062)
VA,Virginia,Richmond City,51760010402,3163,11,15.4,38.1,6.9,10,6,78.1,5.6,13.1,12,32.5,19.9,32.1,32,3.3,POINT (-77.45193193 37.57871958)
VA,Virginia,Bristol,51520020300,2864,18.5,13.7,43.4,6.9,12.1,9.7,76.7,14,30.4,16.5,36.5,35.3,41.8,38.7,5.5,POINT (-82.15737417 36.60263312)
VA,Virginia,Bedford,51019030104,4374,9.7,17.4,31.2,6.6,9.2,5.3,75.5,5.6,14.9,9,32.3,17.2,31.5,32.9,2.5,POINT (-79.28662526 37.35068729)
VA,Virginia,Salem,51775010200,6344,9.9,16.9,30.6,7.1,9.2,5.7,75.5,5.7,12.9,8.6,31.9,18.2,27.2,31,2.6,POINT (-80.08021082 37.29578465)
VA,Virginia,Portsmouth,51740212702,3438,13.3,11,48.1,7.6,10.7,6.8,85.9,5.5,13.5,17.8,32,28.3,42.6,43.5,4.7,POINT (-76.35532327 36.79398098)
VA,Virginia,Henrico,51087200906,4300,10.2,16,33.2,6.1,9.2,4.9,76.8,5.3,15.1,10.3,30.8,19.8,35.2,36,2.6,POINT (-77.49756691 37.66380984)
VA,Virginia,Portsmouth,51740212802,2765,12.4,13.9,41.1,8.7,9.8,8.4,80.4,8.5,16.9,14.2,35.5,27.2,36.8,36.8,4.1,POINT (-76.39100298 36.81226579)
VA,Virginia,Fairfax,51059470700,5392,6.8,14.8,28.7,7.4,7.5,4.7,75.2,3.6,7.1,7.9,33.9,12.8,20,28.2,2,POINT (-77.1707605 38.92198764)
VA,Virginia,Alexandria,51510200900,4693,6.3,16.7,29.7,7.2,7.9,4.3,74.3,3.5,8.4,7.2,33.3,12.7,23.5,29.7,1.9,POINT (-77.07536935 38.82606443)
VA,Virginia,Greene,51079030101,3865,13.6,14.8,39.2,7.9,10,7.7,77.1,8.9,19.7,12.4,36.6,25.9,38,35.1,3.8,POINT (-78.44569036 38.35104389)
VA,Virginia,Stafford,51179010202,5959,10.5,18.6,30.6,5.5,9,4.7,72.1,5.3,16.9,9,32.9,20.1,36.9,36,2.2,POINT (-77.54151082999999 38.49490532)
VA,Virginia,Portsmouth,51740210200,2355,13.7,16.9,33.9,5.1,10.9,5.2,76.9,6.8,20.8,11.3,28.7,26.3,40.4,40.9,2.9,POINT (-76.32840727 36.85153716)
VA,Virginia,Stafford,51179010404,5894,10,18,29.9,5.8,8.7,4.4,73.1,4.4,13.8,8.4,31.7,18.3,35.1,35.1,2.1,POINT (-77.45059649 38.33413744)
VA,Virginia,Richmond City,51760021000,1567,19.9,15.1,40.1,4,13.8,5.6,77,8.1,25.8,14.6,27.5,31.5,43.4,41.6,4.2,POINT (-77.39469464 37.52039353)
VA,Virginia,Loudoun,51107611019,5593,7.7,16.7,23.5,4.7,8.2,3,72.3,3,9.6,6.4,28.6,13,27.8,31.2,1.4,POINT (-77.49298599 39.02519965)
VA,Virginia,Arlington,51013100100,4672,6.7,18.2,25.5,6.6,7.9,4.2,76.4,3.5,8.2,7.3,31.8,12.2,26.5,26.9,1.8,POINT (-77.15813452 38.89579085)
VA,Virginia,Fairfax,51059482001,4801,6,16.4,26.1,6.1,7.8,3.6,74,3.1,7,7,32.2,11.2,21.3,29,1.6,POINT (-77.33133333 38.98206538)
VA,Virginia,Alexandria,51510200301,3103,11.1,18.4,23.8,3.5,8.7,2.4,70.6,2.5,10.9,5.9,23.3,15.4,26.5,35.4,1.4,POINT (-77.116447 38.82609254)
VA,Virginia,Chesterfield,51041100819,6273,15.3,12.9,39.5,5.3,10.7,5.1,77.9,5.8,18,12.8,30.2,26.4,42.9,41.5,3.1,POINT (-77.50942769 37.4379006)
VA,Virginia,Arlington,51013102802,1234,8.7,19,24.5,5.8,8,3.9,75,3.4,9.5,7.2,30.2,13.2,27.4,28.2,1.7,POINT (-77.10316957 38.84659675)
VA,Virginia,Fairfax,51059491102,3507,9.9,17.2,26.8,5.8,8.2,4.1,72.6,4.1,10.5,7.5,31.7,14.8,22.7,30.8,1.9,POINT (-77.46713494 38.85668358)
VA,Virginia,Arlington,51013101401,1225,7.8,25,13.3,2.6,7.8,1.6,68.4,1.7,7.7,3.1,18.2,9.7,23.1,27.2,0.8,POINT (-77.11808279 38.88166571)
VA,Virginia,Mecklenburg,51117930600,3613,16.6,14.5,40.9,6.2,10.5,7.7,79.1,8.8,23.5,15.4,33.6,29.1,40.6,39.6,4.4,POINT (-78.39106391 36.65073114)
VA,Virginia,Fairfax,51059430901,4203,10.2,15.9,24.5,4.5,7.6,3.2,72.3,3,8.7,7.5,29.1,14.7,21.4,32,1.6,POINT (-77.24457915 38.78369239)
VA,Virginia,Hopewell,51670820400,5317,14.7,13.8,40.6,7.6,10.4,8.1,79.5,9.2,20.6,14.1,35,29,36.6,39.1,4.2,POINT (-77.32126838 37.29605001)
VA,Virginia,Campbell,51031020800,3413,14.7,14.1,41.9,7.3,10.8,8.4,79.9,9.9,23.8,14.8,36.2,30.1,43.5,39.6,4.5,POINT (-79.07731952 37.13822217)
VA,Virginia,Chesterfield,51041100409,6369,10.6,16,33.3,6.2,9.4,4.9,74.5,5.6,15.8,9.5,32,20,36.2,35.3,2.3,POINT (-77.4296695 37.3696936)
VA,Virginia,Louisa,51109950500,6340,12.6,16.6,35.9,6.6,10,6.3,75.8,7.5,20.6,11.4,34.7,24,37.3,35.9,3.2,POINT (-77.81784739 37.8380134)
VA,Virginia,Fairfax,51059461602,3916,9,17.4,17.1,2.8,6.6,1.8,67.3,1.7,7,4.6,22,12,17,31.2,1,POINT (-77.2297139 38.87873826)
VA,Virginia,Chesapeake,51550020500,1429,22.7,16.7,29.7,3.8,10.1,4.2,73.5,5.3,20,10.7,26.5,28.3,40.9,38.4,2.6,POINT (-76.29045925 36.7934086)
VA,Virginia,Norfolk,51710005000,3271,20.4,11,49.3,5.5,14,7.5,82.9,9.1,26.8,19.6,30.4,35.3,49.2,49.6,6.2,POINT (-76.28278864 36.83259999)
VA,Virginia,Roanoke,51161030205,3875,10,14.7,36.6,8.2,9.1,6.7,79,6.8,15.3,11.6,36.3,21.3,34.2,31,3.1,POINT (-79.97539064 37.34531163)
VA,Virginia,Prince William,51153901602,7539,16.8,16.8,26.1,4,9.2,3.5,74,4.1,15,8.2,25.5,19.7,35.7,35.5,1.9,POINT (-77.49912039 38.79722336)
VA,Virginia,Spotsylvania,51177020112,2774,12.3,17.5,29.8,4.6,9.5,3.8,73.9,4.6,16.1,8.3,28.2,20,35.6,35.2,2.1,POINT (-77.58756192 38.27730665)
VA,Virginia,Fairfax,51059421400,7158,21.9,16.4,27.7,3.5,9.7,3.6,70.9,4.5,15.9,9.2,26,23.4,30.1,37.9,2.3,POINT (-77.08764007 38.76868672)
VA,Virginia,Danville,51590000200,3814,16.9,10.7,48.9,9.2,11,10.4,82.6,11.3,20.9,18.6,37.7,32.6,38.9,37.9,6.2,POINT (-79.40630159 36.60999284)
VA,Virginia,Loudoun,51107610900,2292,10.6,13.1,37.4,8.4,9.5,7.1,77.6,6.9,13.4,11.8,37.1,19.9,32.8,31.8,3.4,POINT (-77.68263259 38.98528098)
VA,Virginia,Chesterfield,51041100930,3508,6.8,17.1,28.4,5.6,8.7,3.6,73.9,3.8,10.8,7.3,30.9,14.1,32.4,32.1,1.6,POINT (-77.63581034 37.49083319)
VA,Virginia,Fairfax,51059432702,4325,12.4,16.7,26,4.5,8.3,3.5,72,3.6,11.1,8,28.6,16.7,24.6,34.1,1.8,POINT (-77.21398444 38.73207344)
VA,Virginia,Virginia Beach,51810044200,6587,16.2,18.6,29.2,4.2,11.3,4.7,74.9,6.7,21.4,10.7,27.3,26.8,38.1,37.8,2.9,POINT (-75.99566169 36.83102875)
VA,Virginia,Smyth,51173030500,2799,14.7,16.2,39.8,6.9,10.2,7.9,76.5,9.7,24.1,13.2,35.1,27.1,43.6,37.7,3.9,POINT (-81.41133999 36.7755709)
VA,Virginia,Hanover,51085320602,3098,12.4,15.6,36.1,6.8,9.6,5.9,77.7,6.5,16.6,10.8,33.6,21.8,38.2,34.1,3,POINT (-77.47323713 37.74438943)
VA,Virginia,Wise,51195931100,2918,16.9,13.9,41.3,7.1,11.5,9.7,78.9,13.8,30.1,15.6,38.3,33.9,40.8,39.6,5.1,POINT (-82.80144023 36.93531006)
VA,Virginia,Petersburg,51730810400,1384,22.1,10.7,49.2,5.3,14,8.7,82.6,10.8,28.9,21.9,32.2,39.8,51.2,46.7,6.9,POINT (-77.42001375 37.22264376)
VA,Virginia,Carroll,51035080500,4767,13.4,13.9,41.7,9.3,9.8,9.4,77.4,10.5,20.6,13.4,38.6,27,35.1,33.2,4.4,POINT (-80.5886884 36.73216479)
VA,Virginia,Chesapeake,51550021302,9658,10.4,16.7,29.7,4.7,9.2,3.5,76.7,3.7,14.5,9.4,28.5,19.4,36.8,36.5,2,POINT (-76.32604925 36.7319603)
VA,Virginia,Wythe,51197050302,3200,12.2,15.7,36.2,7.3,9.4,6.9,75.8,8,19.9,10.9,35.8,23.9,39.9,33.8,3.2,POINT (-81.19584996 36.82847832)
VA,Virginia,Fairfax,51059450400,2631,10.9,15.6,28.2,6.4,7.8,4.6,73.5,4.2,9.3,8.5,32.9,15.7,22.1,30.1,2.1,POINT (-77.17007695 38.86210691)
VA,Virginia,Fairfax,51059452302,4882,21.7,15.6,24.6,3,8.2,3.3,68.9,3.8,14.2,9,26.4,24,25.9,36.5,1.9,POINT (-77.21782034 38.82203837)
VA,Virginia,Virginia Beach,51810040200,5283,18.1,18.1,27.2,3.3,12.1,3.7,76.3,5.2,19,9.7,23.1,26.8,37.1,39.6,2.6,POINT (-76.18646666 36.88137771)
VA,Virginia,Henry,51089011200,3768,17.7,13.7,42.3,7.4,11.3,9.5,77.2,12.5,27.6,16.1,36.5,31.8,42,38.7,5,POINT (-80.04408385 36.76638613)
VA,Virginia,Newport News,51700032132,5536,11.9,18,31.7,5.2,9.2,4.2,75.8,4.3,14.1,8.8,26.7,18.5,35.3,34.9,2.3,POINT (-76.52123188 37.14750803)
VA,Virginia,Rockingham,51165011600,2164,11.9,15.8,34.5,7.5,8.9,6.6,76.1,6.9,14.9,10.4,34.5,22.1,29.9,29.7,3,POINT (-78.96154015 38.36649821)
VA,Virginia,Franklin,51067020800,6566,14.2,14,41.4,7.8,10.1,7.8,78.8,8.6,18.7,13,35.7,26.6,36.5,32,4.1,POINT (-79.90375414 36.9869972)
VA,Virginia,Newport News,51700032114,1742,10.8,17.8,30.4,5.6,9.1,4.3,75.8,4.4,13,8.3,27.6,17.2,33.1,32.6,2.1,POINT (-76.48919518 37.10969256)
VA,Virginia,Tazewell,51185020900,2079,16.5,13,44,8.2,11.4,10.4,78.2,14.2,27.4,16.3,38.7,35,42.7,37.2,5.5,POINT (-81.82618349 37.13784127)
VA,Virginia,Augusta,51015070800,6266,11.3,16.1,36.4,7.7,9.1,6.8,75.9,7.3,18.2,11,37.4,21.7,34.1,33.2,3.1,POINT (-79.19096772 38.21414457)
VA,Virginia,Prince William,51153900501,7251,24.6,15.2,29,4.4,9.2,4.6,74.4,4.9,15.9,10.3,27,25.3,37.6,36,2.5,POINT (-77.27602899 38.6440942)
VA,Virginia,Pittsylvania,51143010700,1833,17.1,11.7,48,7.6,11,9,81.4,10.3,23.8,18.4,38,34,41.4,38.8,5.6,POINT (-79.22015593 36.85532416)
VA,Virginia,Norfolk,51710004500,1374,16.3,11.8,46.5,5.8,12.2,6.2,82.8,6.6,20.4,17,30.3,28.4,45.1,46.9,4.8,POINT (-76.25055325 36.84960713)
VA,Virginia,Botetourt,51023040301,2954,10.6,16.3,35.7,7.7,9.1,6.5,77.7,6.8,16.1,10.4,35,20,34.5,34.2,3,POINT (-79.8548809 37.50449667)
VA,Virginia,Newport News,51700031702,4754,12.8,19,28.9,5,10,4.5,74.6,5.2,15.2,8,25.5,19.3,33.1,33.5,2.3,POINT (-76.49029366 37.07606643)
VA,Virginia,Arlington,51013102301,1464,9.6,19,22.9,5.2,7.9,3.5,74.5,3.2,9.4,6.9,28.9,13.5,27.5,28.4,1.6,POINT (-77.1055954 38.86631983)
VA,Virginia,York,51199051000,3610,10.8,14,37.6,7.9,9.3,7.1,78.7,7.2,16.2,12.2,36,21.4,33.9,33.8,3.4,POINT (-76.6916235 37.32897155)
VA,Virginia,Fairfax,51059491404,3960,10.2,17.7,21.8,3.8,7.7,2.6,70,2.8,10,6.2,26.5,14.2,21.2,32.7,1.4,POINT (-77.4387505 38.81373368)
VA,Virginia,Colonial Heights,51570830200,3525,15.6,13,39.9,8.9,10.1,9.1,79.9,9.5,18.2,13.6,34.8,29.7,38.4,35.4,4.6,POINT (-77.40115998 37.27337942)
VA,Virginia,Richmond City,51760050200,3006,7.1,21.6,23.4,5.8,8.2,3.5,70.9,3,8.6,5.6,27,11.1,24,25.8,1.5,POINT (-77.49551958 37.57141604)
