"fips","asthma_prev","asian","hispanic","area_sqmi","uninsured","limited_english","unemployment","single_parent","house_age","mobile_homes","two_or_more","walkability","crowded_housing","park_proximity","road_proximity","toxic_poximity","percent_in_flood_zone","ozone"
24003702402,10.1,4.28625616386395,7.71273233025667,4.74852564026,342,205,183,26,22.04,0,3.45176381337716,9.61,35,72.29,56.81,20.72,10.7889328318848,4.33
24003702500,11.8,7.27196885428254,12.7641824249166,2.835831158744,182,43,94,346,39.1,0,1.32091212458287,11,158,59.82,8.52,18.07,18.686445707362,4.67
24003702601,10.2,0,4.5760908123448,2.509040217474,533,48,95,110,57.71,0,5.25008868393047,6.7,58,100,0,0,17.187110543532,5
24003702602,9.8,0.422558101738989,7.73606370875996,3.087373136826,142,0,61,88,38.94,0,1.54396229481554,8.89,0,76.44,0,0,30.3412992090175,5.67
24003702702,9.6,3.87700534759358,0.588235294117647,5.17077064848,35,15,86,9,50.98,0,4.25133689839572,6.42,0,24.02,15.01,20.34,25.6644887392864,5.33
24003706302,9.8,0.94876660341556,2.0059636757929,0.555877227032,137,0,80,41,79.61,0,0.759013282732448,17.33,15,74.82,0,0.15,35.9000455889973,5.67
24003706402,11.2,0,4.37828371278459,0.42981646844,135,0,95,156,69.42,0,13.0180969060128,14.92,50,100,0,0,12.8514420161251,5.33
24003706500,10.8,0.324733898610861,13.1156413494498,1.113010057768,792,312,86,251,50.12,0,0.865957062962295,16.29,145,64.53,33.91,78.12,2.38927850826787,5
24003706600,10.5,5.80348592223712,8.0635893506991,1.563200356544,398,75,50,150,86.61,0,1.57058034859222,14.73,60,66.37,87.76,57,17.3906689755316,6
24003706700,10.4,4.27400468384075,19.4964871194379,0.5387667308,50,12,21,0,92.23,0,4.56674473067916,14.5,0,90.72,10.59,37.21,44.234440513144,6.33
24003707001,10.6,0.181818181818182,3.52727272727273,10.549641008512,85,0,154,102,47,0,1.90909090909091,6.72,0,26.06,0,0,21.2766560505338,3.67
24003707002,10.3,0.979083222073876,4.87316421895861,4.22999644579,136,8,176,43,51.88,0,7.7659101023587,7.89,0,0,0,0,24.9537436232338,3.67
24003708001,10.6,1.03439358675976,1.11197310576674,16.755300924896,313,130,71,35,53.78,26,1.91362813550556,5.5,0,38.77,0,0,8.16370843827708,3.33
24003708004,12.1,0,27.4859840660962,26.40469531325,825,21,221,56,33.76,913,4.04249041015049,4.89,139,17.58,0,0,12.6155180121037,3.33
24003730204,11.4,2.906548933039,15.0355653666912,1.846603471666,373,0,67,189,47.59,0,7.97154770664705,9.33,45,4.04,76.61,0,1.41201676585154,6
24003730300,11.4,4.05552531301034,22.5639629831247,0.79274269589,347,209,110,156,91.09,0,5.96080566140446,12.67,0,0,100,0,8.59405875155601,5.33
24003730601,9.9,5.05948115235775,3.18188333094453,3.185134163226,309,30,141,42,33.49,0,2.89522717500358,6.5,0,49.98,66.79,22.13,7.6214795224804,4.67
24003730603,10.3,10.4940076001169,1.92926045016077,2.474792583972,91,35,64,12,51.72,0,3.74159602455422,8.58,20,98.85,77.79,0,1.07978775815505,6.33
24003730800,10.1,11.1474071049408,3.79746835443038,2.85969342065,19,5,44,23,63.54,0,3.51163740302164,13,4,17.1,86.32,0,30.4024466971312,6.33
24003730901,10,2.55172413793103,19.9310344827586,3.522738277108,11,14,21,22,68.14,0,1.48275862068966,8.44,9,51.01,35.65,47.13,27.9466473892292,6.67
24003730902,10.6,3.05841062923038,9.52619704186513,5.978952791146,188,0,41,38,53.19,0,1.88017046878917,8.25,0,50.38,69.87,16.19,20.4863095342165,7.67
24003731002,10.4,2.38372093023256,6.94767441860465,2.924577089546,100,9,16,132,24.74,0,6.65697674418605,6.33,0,100,85.69,24.15,14.4475197140036,9
24003731003,10.4,1.28068303094984,6.10458911419424,1.231059972064,38,0,123,152,65.4,0,6.93703308431163,7.56,0,88.91,44.82,0,13.0686832617902,8
24003731004,10.8,3.99330463892874,5.90626494500239,0.71900493593,105,43,166,171,43.89,0,7.03012912482066,7.92,21,95.67,33.65,0,7.2333908525462,8
24003731103,10.4,2.74809160305344,6.24045801526718,3.305837756568,103,0,153,108,35.56,35,5.7824427480916,7.39,41,88.9,97.62,0,2.00741421152396,7
24003731104,10.8,2.32849722371485,19.8101379186817,0.948515161688,186,29,88,137,47.67,0,10.6215296435608,6.67,13,100,15.84,0,10.5392193406314,7.33
24003731105,10.4,1.202151217969,6.51692502372667,1.052721002672,96,12,87,35,69.89,0,4.52388484656754,10.33,0,100,46.18,0,26.4698311573064,6.67
24003731201,10.2,0.683548236756253,2.74972813422402,2.035824339826,70,44,67,0,64.95,0,1.22727978872145,9.38,0,82.91,80.02,0,26.2657500203436,6.67
24003731303,11,0.48828125,0.960286458333333,7.06447354482,285,19,294,38,69.13,0,3.54817708333333,5.63,18,62.44,0,0,16.354083386937,9.33
24003731306,10.9,4.61072112316528,3.57370772176133,6.179464440092,28,96,8,15,48.31,55,1.62731333758775,5.77,80,64.04,0,0,17.6106201816925,9
24003731307,11.3,1.9088780839186,6.9151809832523,2.420899308506,87,33,100,183,28.64,0,5.6546011165136,9.06,19,89.96,0,0,1.21335414271779,7.67
24003731308,11,1.68827991191583,3.40102764864204,0.631068661022,165,39,63,28,84.54,0,4.33080499143626,12.08,0,100,0,0,25.9827328695903,8
24003731309,11.2,4.24460431654676,0.575539568345324,1.022073384218,417,16,226,131,43.41,13,2.82374100719424,12.61,48,100,0,0,21.088274024543,7.33
24003731310,11.2,0.540540540540541,2.3023023023023,0.863897819572,143,26,31,38,57.3,6,7.54754754754755,7.11,11,100,0,0,15.9713024815556,6.67
24003740103,10.5,7.46949602122016,11.2254641909814,2.357051937378,474,97,243,127,27.2,215,8.87002652519894,8.13,39,99.93,82.2,34.41,7.976442146591,3
24003740104,11.7,8.94441849602989,12.739374124241,1.625401774846,396,260,412,202,16.29,0,6.58570761326483,6.06,14,100,7.34,0,3.66902223231445,3.33
24003740105,12,1.96337966026914,14.956982131039,0.66922480507,629,126,155,241,51.72,0,5.16214427531436,3.75,184,91.28,28.92,67.25,3.39068471923037,3.33
24003740203,11,6.2043795620438,7.00382342718109,3.589376779594,386,12,72,0,27.47,42,3.70177267987487,6,0,74.46,31.41,9.35,3.45035404703876,3.67
24003740303,10.7,11.5723732549596,15.2094048493755,1.77556147587,229,63,119,72,31.31,241,5.51065393093314,6.67,70,47.08,50.89,64.11,6.88189326089494,3.33
24003740304,10.9,5.36867599569429,17.505382131324,2.494657531872,222,105,35,34,11.07,46,6.7545748116254,7.25,27,24.81,100,96.02,2.0688058300928,3.33
24003740305,11.6,5.86960447895973,6.14953946180242,1.325219439008,446,165,167,583,16.64,0,3.63915477695503,7.42,98,22.49,88.5,91.44,5.02058027482125,3
24003740601,11.2,11.634173403075,11.69757489301,2.041216640358,217,200,80,79,29.96,0,9.87478205737835,6.63,41,100,98.81,39.33,2.72392165749634,2.67
24003740602,11.6,11.6666666666667,19.4540229885057,1.637673640814,38,53,60,140,45.33,0,10.8045977011494,7.5,34,79.92,3.74,10.77,1.4581108757906,3
24003740603,10.7,3.70778267254038,13.6930983847283,18.406476938752,91,62,21,43,32.7,0,12.9588839941263,4.75,8,25.41,47.63,43.87,18.2621499311164,2.67
24003740701,10.4,6.71455798270048,7.81410350388506,1.081924213544,179,228,86,333,1.75,68,13.7516493182818,8.5,19,50.65,21.01,44.17,0.187159565100243,2.67
24003740800,10.5,2.94363256784969,3.86221294363257,7.81212724915,200,38,72,38,69.36,0,7.09812108559499,7,0,29.3,89.67,11.7,2.75174021310245,3.33
24003740900,10.6,1.4239169783999,19.4280197900326,2.07158780978,278,160,383,170,62.2,0,6.45589477494871,7.23,7,99.34,49.52,64.95,3.29766515946079,3.33
24003741000,10.9,3.0359820089955,12.0314842578711,6.16138675835,144,27,30,6,43.74,22,7.27136431784108,6.75,0,14.73,73.6,36.39,4.31874359010983,3.67
