state_fips,state_name,state_abbrev,county_fips,county_name,fips,location,area_sqmi,total_pop,housing_units,num_households,poverty,unemployment,housing_cost_burden,no_highschool,uninsured,age_over_65,age_under_17,disabilities,single_parent,limited_english,minority,multi_unit_housing,mobile_homes,crowded_housing,no_vehicle,group_quarters
11,District of Columbia,DC,11001,District of Columbia,11001005900,Census Tract 59; District of Columbia; District of Columbia,0.247874781286,2296,1592,1407,431,84,197,121,71,120,26,223,0,0,852,1568,0,13,835,238
11,District of Columbia,DC,11001,District of Columbia,11001006400,Census Tract 64; District of Columbia; District of Columbia,0.26695478382,2662,1673,1467,1256,116,540,349,198,334,472,567,120,20,2029,914,0,0,857,0
11,District of Columbia,DC,11001,District of Columbia,11001006500,Census Tract 65; District of Columbia; District of Columbia,0.196640590294,2732,1585,1380,620,104,166,13,106,416,496,108,32,69,863,503,0,11,320,187
11,District of Columbia,DC,11001,District of Columbia,11001006600,Census Tract 66; District of Columbia; District of Columbia,0.110099301912,2174,1251,1120,168,107,222,40,40,415,306,150,20,38,466,377,0,10,271,9
11,District of Columbia,DC,11001,District of Columbia,11001006700,Census Tract 67; District of Columbia; District of Columbia,0.165389880516,4058,2093,2067,78,94,181,15,30,915,610,281,30,12,738,84,0,0,323,5
11,District of Columbia,DC,11001,District of Columbia,11001006801,Census Tract 68.01; District of Columbia; District of Columbia,0.0944984645,2315,1114,1014,465,117,116,48,30,113,389,215,28,4,1161,134,0,0,198,68
11,District of Columbia,DC,11001,District of Columbia,11001006802,Census Tract 68.02; District of Columbia; District of Columbia,0.108150259016,2158,1119,1018,226,202,135,17,21,281,328,119,17,0,977,264,0,0,161,22
11,District of Columbia,DC,11001,District of Columbia,11001006804,Census Tract 68.04; District of Columbia; District of Columbia,0.595476234254,2102,18,18,220,18,3,410,0,173,7,97,6,52,1939,9,0,0,0,2066
11,District of Columbia,DC,11001,District of Columbia,11001006900,Census Tract 69; District of Columbia; District of Columbia,0.153866666326,2684,1378,1259,127,13,70,7,31,163,573,165,33,0,609,403,0,36,303,15
11,District of Columbia,DC,11001,District of Columbia,11001007000,Census Tract 70; District of Columbia; District of Columbia,0.169681404246,2474,1249,1030,59,50,64,16,7,305,423,173,0,2,693,86,0,15,183,354
11,District of Columbia,DC,11001,District of Columbia,11001007100,Census Tract 71; District of Columbia; District of Columbia,0.232519504746,3438,1623,1486,1180,85,295,186,81,307,591,424,123,36,2337,734,0,77,494,11
11,District of Columbia,DC,11001,District of Columbia,11001007201,Census Tract 72.01; District of Columbia; District of Columbia,0.301722110614,2417,2024,1776,97,104,294,0,30,10,0,29,0,10,748,1987,0,0,736,0
11,District of Columbia,DC,11001,District of Columbia,11001007202,Census Tract 72.02; District of Columbia; District of Columbia,0.071033887654,4446,3311,2842,143,63,451,18,18,109,125,164,49,0,1059,3290,0,74,790,0
11,District of Columbia,DC,11001,District of Columbia,11001007203,Census Tract 72.03; District of Columbia; District of Columbia,0.148331894156,2951,2044,1716,224,57,134,73,0,232,331,267,14,73,897,1720,0,55,537,22
11,District of Columbia,DC,11001,District of Columbia,11001007301,Census Tract 73.01; District of Columbia; District of Columbia,1.808750031586,4482,1488,1362,539,19,317,0,40,56,1651,231,76,8,2256,23,0,25,23,421
11,District of Columbia,DC,11001,District of Columbia,11001007304,Census Tract 73.04; District of Columbia; District of Columbia,0.476002375782,4927,2249,2027,2252,215,1286,528,199,518,1537,822,368,0,4744,597,0,25,1081,302
11,District of Columbia,DC,11001,District of Columbia,11001007401,Census Tract 74.01; District of Columbia; District of Columbia,0.46684094752599997,1407,952,755,765,146,474,148,133,328,286,309,71,13,1380,495,0,36,477,21
11,District of Columbia,DC,11001,District of Columbia,11001007403,Census Tract 74.03; District of Columbia; District of Columbia,0.127762696208,2421,1094,925,1421,141,636,217,60,126,947,434,229,0,2411,397,0,58,503,0
11,District of Columbia,DC,11001,District of Columbia,11001007404,Census Tract 74.04; District of Columbia; District of Columbia,0.319070059576,3958,1570,1366,900,266,606,260,232,163,1488,471,418,0,3868,500,0,19,555,0
11,District of Columbia,DC,11001,District of Columbia,11001007406,Census Tract 74.06; District of Columbia; District of Columbia,0.139055407504,3033,1442,1242,1771,240,554,77,106,86,1096,337,443,0,3033,1119,0,14,471,9
11,District of Columbia,DC,11001,District of Columbia,11001007407,Census Tract 74.07; District of Columbia; District of Columbia,0.2350202874,3216,1614,1433,1405,200,599,131,72,342,1062,481,357,50,3151,663,0,36,525,13
